TF1|TF2|{F/R}|D	COUNTS	n	mu	SD	FC	Z	p-value
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FR|2	48	3	44.333333333333336	2.0816659994661326	1.0827067669172932	1.7614096918559574	0.07816908582428367
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FF|-1	81	3	36.666666666666664	6.506407098647712	2.2090909090909094	6.813796410394848	9.505620392143876e-12
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FF|-3	244	3	107.66666666666667	2.8867513459481287	2.26625386996904	47.227252019711386	0.0
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FF|-2	65	3	44.0	8.18535277187245	1.4772727272727273	2.5655583314824097	0.010300989956510432
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FF|-5	58	3	27.0	7.211102550927978	2.1481481481481484	4.298926520745526	1.7162735635942714e-05
M0686_1.02d.jpwm|M1518_1.02d.jpwm|FF|-4	34	3	18.333333333333332	1.1547005383792515	1.8545454545454547	13.567731325956208	6.221811850915147e-42
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|4	283	3	117.33333333333333	10.066445913694334	2.4119318181818183	16.45731453653317	7.432555284213858e-61
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|5	344	3	106.33333333333333	21.361959960016154	3.2351097178683386	11.125695727897384	9.406909779402938e-29
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|6	289	3	116.0	5.196152422706632	2.4913793103448274	33.293865523268416	4.736849409845437e-243
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|7	213	3	110.66666666666667	4.041451884327381	1.9246987951807228	25.3209332344593	1.8789097914388754e-141
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|0	315	3	120.66666666666667	0.5773502691896257	2.6104972375690605	336.5952069375518	0.0
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|1	284	3	122.66666666666667	8.386497083606084	2.3152173913043477	19.23727293111537	1.8045612865669557e-82
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|2	363	3	115.33333333333333	7.234178138070236	3.147398843930636	34.23563284449799	7.136204444103895e-257
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|3	291	3	111.0	5.5677643628300215	2.6216216216216215	32.32895436481949	2.7418476578317615e-229
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|8	295	3	116.66666666666667	10.263202878893768	2.5285714285714285	17.375992215848626	1.2541807201651306e-67
M0686_1.02d.jpwm|M0686_1.02d.jpwm|FF|9	273	3	105.0	6.928203230275509	2.6	24.248711305964285	6.822416626851942e-130
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|8	69	3	48.666666666666664	2.0816659994661326	1.4178082191780823	9.767817382110318	1.547498562945569e-22
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|9	49	3	38.0	7.0	1.2894736842105263	1.5714285714285714	0.11608313373865504
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|4	71	3	45.333333333333336	2.516611478423583	1.5661764705882353	10.198899149400837	2.0053251039478133e-24
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|5	45	3	41.666666666666664	2.516611478423583	1.08	1.324532357065045	0.1853263041985791
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|6	54	3	50.666666666666664	8.962886439832502	1.0657894736842106	0.37190400165280113	0.7099643256177925
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|7	74	3	46.666666666666664	3.785938897200183	1.5857142857142859	7.219697431870115	5.210337182949878e-13
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|0	53	3	42.666666666666664	6.8068592855540455	1.2421875	1.5180765313106148	0.12899510670347974
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|1	68	3	52.0	3.605551275463989	1.3076923076923077	4.437601569801833	9.096680073059195e-06
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|2	57	3	53.0	2.0	1.0754716981132075	2.0	0.04550026389635839
M1264_1.02d.jpwm|M1518_1.02d.jpwm|FR|3	75	3	44.666666666666664	9.073771725877465	1.6791044776119404	3.3429685305864356	0.0008288729904968246
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FR|-4	18	3	18.333333333333332	2.081665999466133	0.9818181818181819	-0.16012815380508655	0.8727801237939122
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FR|-5	6	3	8.0	3.605551275463989	0.75	-0.5547001962252291	0.5790997419539188
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FR|-1	19	3	16.666666666666668	0.5773502691896258	1.14	4.041451884327378	5.312128159411764e-05
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FR|-2	15	3	17.333333333333332	3.0550504633038935	0.8653846153846154	-0.7637626158259729	0.4450087187467363
M1518_1.02d.jpwm|M1518_1.02d.jpwm|FR|-3	30	3	18.333333333333332	2.5166114784235836	1.6363636363636365	4.635863249727653	3.5545091159644996e-06
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|-5	7	3	9.333333333333334	2.0816659994661326	0.75	-1.1208970766356103	0.262331675408357
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|-4	23	3	22.666666666666668	7.023769168568492	1.0147058823529411	0.04745789978762478	0.9621482836066158
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|-6	20	3	15.666666666666666	3.055050463303893	1.2765957446808511	1.4184162865339507	0.15606926343164354
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|-1	66	3	44.0	7.810249675906654	1.5	2.8168113585237116	0.004850300457042105
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|-3	55	3	70.0	5.0	0.7857142857142857	-3.0	0.0026997960632601866
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|-2	41	3	45.666666666666664	7.094598884597588	0.8978102189781022	-0.6577773800289151	0.5106811914280072
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|10	116	3	104.0	2.6457513110645907	1.1153846153846154	4.535573676110727	5.7447119191568595e-06
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|8	15	3	12.0	2.6457513110645907	1.25	1.1338934190276817	0.25683925795785656
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|10	60	3	52.0	7.937253933193772	1.1538461538461537	1.0079052613579391	0.31349994558358807
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|-3	228	3	111.0	5.0	2.054054054054054	23.4	4.273575615516431e-121
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|8	114	3	90.0	11.789826122551595	1.2666666666666666	2.0356534312319305	0.041785168403922095
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|-4	30	3	24.666666666666668	2.5166114784235836	1.2162162162162162	2.1192517713040693	0.034069195144144
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FF|-6	95	3	61.0	9.16515138991168	1.5573770491803278	3.709704134011871	0.0002075015940618331
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|3	133	3	107.66666666666667	7.234178138070236	1.2352941176470589	3.5018951496390933	0.00046196137735837506
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|3	14	3	13.0	3.605551275463989	1.0769230769230769	0.2773500981126146	0.7815112949987133
M0686_1.02d.jpwm|M0686_1.02d.jpwm|RF|-1	64	3	50.666666666666664	4.163331998932266	1.2631578947368423	3.2025630761017427	0.001362104671584203
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|1	119	3	101.33333333333333	10.214368964029708	1.174342105263158	1.72958963288682	0.08370361959855002
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|1	11	3	10.666666666666666	2.516611478423583	1.03125	0.13245323570650464	0.8946258095467279
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|7	151	3	98.33333333333333	15.88500340992514	1.535593220338983	3.3154960882010203	0.0009148062139984423
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|7	19	3	14.666666666666666	3.214550253664318	1.2954545454545454	1.348037203149553	0.17764641713565
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|4	13	3	11.333333333333334	2.0816659994661326	1.1470588235294117	0.8006407690254355	0.42333964158244364
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|4	127	3	103.66666666666667	6.658328118479393	1.22508038585209	3.5043832202523113	0.0004576662452429794
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|-4	6	3	14.0	2.6457513110645907	0.42857142857142855	-3.0237157840738176	0.002496908915141548
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|-3	432	3	447.0	3.0	0.9664429530201343	-5.0	5.733031437583866e-07
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|-2	92	3	85.0	10.44030650891055	1.0823529411764705	0.6704783996548059	0.5025528715982597
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|-1	82	3	74.66666666666667	10.016652800877813	1.0982142857142856	0.7321141582036935	0.4640988928762103
M0686_1.02d.jpwm|M1518_1.02d.jpwm|RF|10	52	3	37.333333333333336	2.0816659994661326	1.3928571428571428	7.045638767423833	1.846126222174177e-12
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|9	119	3	101.66666666666667	6.6583281184793925	1.1704918032786884	2.6032561064731454	0.009234294385642387
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|9	12	3	8.0	2.0	1.5	2.0	0.04550026389635839
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|2	24	3	8.666666666666666	2.3094010767585034	2.7692307692307696	6.639528095680696	3.146890173051469e-11
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|2	119	3	104.33333333333333	5.033222956847166	1.1405750798722045	2.9139711855430974	0.003568628436933373
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|0	26	3	9.666666666666666	3.511884584284246	2.689655172413793	4.650874179187246	3.3053094884856705e-06
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|0	99	3	80.66666666666667	7.023769168568492	1.2272727272727273	2.610184488319372	0.009049340514549262
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|6	22	3	14.333333333333334	7.023769168568493	1.5348837209302324	1.0915316951153737	0.2750389932009095
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|6	105	3	104.33333333333333	7.637626158259734	1.0063897763578276	0.08728715609439756	0.9304432630047471
M0686_1.02d.jpwm|M1264_1.02d.jpwm|FR|5	105	3	104.33333333333333	8.736894948054106	1.0063897763578276	0.0763047593716521	0.9391766394548088
M1518_1.02d.jpwm|M1518_1.02d.jpwm|RF|5	17	3	10.333333333333334	4.041451884327381	1.6451612903225805	1.649572197684645	0.09903046529630431
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|-4	57	3	64.33333333333333	4.163331998932265	0.8860103626943006	-1.7614096918559574	0.07816908582428367
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|-5	34	3	37.0	2.0	0.918918918918919	-1.5	0.13361440253771614
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|-6	10	3	16.666666666666668	2.3094010767585034	0.6	-2.886751345948129	0.003892417122778628
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|-1	56	3	65.66666666666667	11.015141094572204	0.8527918781725887	-0.8775799223697639	0.3801717289639661
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|-2	54	3	58.333333333333336	2.516611478423583	0.9257142857142857	-1.7218920641845579	0.08508907281620359
M1264_1.02d.jpwm|M1264_1.02d.jpwm|RF|-3	56	3	59.333333333333336	3.0550504633038935	0.9438202247191011	-1.0910894511799627	0.2752335240748339
